,id,Цена,Цена за кв.метр,Количество собственников,Район,Улица,Вид сделки,Количество комнат,Общая площадь,Площадь кухни,Жилая площадь,Этаж,Этажей в доме,Балкон или лоджия,Высота потолков,Санузел,Окна,Ремонт,Техника,Способ продажи,Тип дома,Год постройки,Пассажирский лифт,Грузовой лифт,В доме,Двор,Парковка,Дополнительно,Тип комнат,Мебель,Тип продавца,Data_added,latitude,longitude,center_distance,metro_distance
936,2585524314,5160000.0,83226.0,2 собственника или больше,Sovetsky,"Южный пр., 186",возможна ипотека,4,62.0,6.0,52.0,4.0,5.0,балкон,2.7,раздельный,на солнечную сторону,евро,,свободная,кирпичный,1986.0,,,газ,"детская площадка, спортивная площадка",открытая во дворе,,изолированные,"кухня, хранение одежды, спальные места",частное лицо,2025-05-07,53.188255,50.218537,8.28,1.51
938,4486992546,5000000.0,106157.0,2 собственника или больше,Kirovsky,"Севастопольская ул., 37",,2,47.1,5.8,29.3,2.0,5.0,балкон,2.7,раздельный,"во двор, на солнечную сторону",косметический,,свободная,блочный,1968.0,нет,нет,газ,"детская площадка, спортивная площадка",открытая во дворе,гардеробная,изолированные,,частное лицо,2025-05-07,53.225436,50.2633,11.9,1.7
939,4672843034,10500000.0,163807.0,1 собственник,Oktyabrsky,"Центральная ул., 25",возможна ипотека,2,64.1,11.5,34.4,9.0,22.0,лоджия,,раздельный,"во двор, на улицу, на солнечную сторону",требует ремонта,кондиционер,свободная,монолитный,2013.0,,2,,"детская площадка, спортивная площадка","подземная, открытая во дворе",,изолированные,кухня,частное лицо,2025-05-07,53.22087,50.193663,7.4,2.26
946,4687297334,5350000.0,86290.0,2 собственника или больше,Krasnoglinsky,"Крайняя ул., 1",возможна ипотека,4,62.0,8.3,39.5,2.0,9.0,лоджия,2.5,раздельный,"во двор, на улицу, на солнечную сторону",косметический,,свободная,кирпичный,1983.0,1,,газ,детская площадка,открытая во дворе,,изолированные,кухня,частное лицо,2025-05-07,53.333855,50.292729,20.66,13.55
948,2195185449,6500000.0,122642.0,2 собственника или больше,,"пр-т Карла Маркса, 11",,2,53.0,8.0,44.0,5.0,10.0,балкон,,раздельный,на улицу,косметический,,свободная,панельный,1990.0,1,нет,"мусоропровод, газ","детская площадка, спортивная площадка","открытая во дворе, за шлагбаумом во дворе",,смежные,,частное лицо,2025-05-07,53.188719,50.136845,2.83,2.22
951,3554247865,6500000.0,144444.0,"Авито — сайт объявлений России. © ООО «КЕХ еКоммерц» 2007–2025. Правила Авито. Политика конфиденциальности. Оплачивая услуги на Авито, вы принимаете оферту. Авито использует рекомендательные технологии.",Oktyabrsky,"Самара, жилой комплекс Изумрудный",возможна ипотека,1,45.0,10.0,25.0,4.0,18.0,лоджия,2.7,совмещенный,"во двор, на улицу",требует ремонта,,свободная,кирпичный,2018.0,1,1,,"закрытая территория, детская площадка, спортивная площадка",открытая во дворе,,,,частное лицо,2025-05-07,53.241902,50.181419,8.09,3.97
955,5154141789,12900000.0,148276.0,1 собственник,Zheleznodorozhny,"Арцыбушевская ул., 26",возможна ипотека,3,87.0,12.0,55.0,3.0,9.0,лоджия,2.7,раздельный,"во двор, на улицу",дизайнерский,"кондиционер, холодильник, стиральная машина, водонагреватель",свободная,кирпичный,1996.0,1,нет,газ,"закрытая территория, детская площадка, спортивная площадка",открытая во дворе,гардеробная,изолированные,"кухня, хранение одежды, спальные места",частное лицо,2025-05-07,53.187008,50.11091,1.18,2.94
958,3193920149,3400000.0,109677.0,1 собственник,Kuibyshevsky,"Южное ш., 11",,студия,31.0,,14.0,15.0,16.0,лоджия,2.7,совмещенный,во двор,требует ремонта,,свободная,монолитно-кирпичный,2024.0,1,1,,"закрытая территория, детская площадка, спортивная площадка",открытая во дворе,,,,агентство,2025-05-07,53.137997,50.167387,7.65,6.96
959,4786704852,3300000.0,103125.0,1 собственник,Sovetsky,"Партизанская ул., 216",,1,32.0,6.0,,5.0,5.0,балкон,,совмещенный,"на улицу, на солнечную сторону",косметический,,свободная,панельный,1964.0,нет,нет,газ,"детская площадка, спортивная площадка",открытая во дворе,,,,частное лицо,2025-05-07,53.188832,50.205359,7.4,1.4
961,4783846774,5900000.0,122407.0,2 собственника или больше,Oktyabrsky,"ул. Советской Армии, 275",возможна ипотека,2,48.2,7.4,29.4,4.0,5.0,лоджия,,раздельный,"во двор, на улицу",требует ремонта,,свободная,кирпичный,,нет,нет,,детская площадка,открытая во дворе,,изолированные,,частное лицо,2025-05-07,53.243799,50.174152,7.91,3.92
